Serial number,Time (UTC),Datum ID,Session ID,Data format version,Firmware version,App version,Timezone offset (mins),Date local (yyyy/MM/dd),Time local (hh:mm:ss),GPS lat (ddmm.mmmmm),GPS long (dddmm.mmmmm),GPS speed (km/h),GPS sat count,Timebase (s),Status,Battery remaining (%),Accel X,Accel Y,Accel Z,Tape position,Flow setpoint (mL/min),Flow total (mL/min),Flow1 (mL/min),Flow2 (mL/min),Sample temp (C),Sample RH (%),Sample dewpoint (C),Internal pressure (Pa),Internal temp (C),Optical config,UV Sen1,UV Sen2,UV Ref,UV ATN1,UV ATN2,UV K,Blue Sen1,Blue Sen2,Blue Ref,Blue ATN1,Blue ATN2,Blue K,Green Sen1,Green Sen2,Green Ref,Green ATN1,Green ATN2,Green K,Red Sen1,Red Sen2,Red Ref,Red ATN1,Red ATN2,Red K,IR Sen1,IR Sen2,IR Ref,IR ATN1,IR ATN2,IR K,UV BC1,UV BC2,UV BCc,Blue BC1,Blue BC2,Blue BCc,Green BC1,Green BC2,Green BCc,Red BC1,Red BC2,Red BCc,IR BC1,IR BC2,IR BCc,Readable status
MA350-0238,2022-04-12T14:55:01Z,26442,12,1,1.1,1.4,0,2022-04-12,2:55:01 PM,0,0,0,0,60,64,100,-25747,-92,-1902,3,100,99.76,54.91,44.84,34.96,14.9,4.38,76104,35.5,DUALSPOT-UV-BLUE-GREEN-RED-IR,659936,566947,930841,34.680052,28.843068,0.00731,702019,736564,840237,27.727058,23.200468,0.009578,712995,760816,856914,24.367236,20.286966,0.009885,737990,776383,909863,20.194096,16.644012,0.008203,636005,738278,939883,14.753494,11.884239,-0.015067,6107,6456,8181,6473,6855,8814,6391,6731,8419,6678,6911,8003,7229,6973,5914,NA
MA350-0238,2022-04-12T14:56:01Z,26443,12,1,1.1,1.4,0,2022-04-12,2:56:01 PM,0,0,0,0,60,64,100,-25778,-71,-1882,3,100,99.64,54.91,44.73,34.96,14.9,4.33,76100,35.44,DUALSPOT-UV-BLUE-GREEN-RED-IR,659066,566250,930521,34.779016,28.930432,0.009557,701570,736170,840419,27.8113,23.275014,0.012441,713357,761258,857974,24.441226,20.352778,0.014501,736984,775408,909234,20.257166,16.699406,0.015201,635768,738053,939966,14.800381,11.924692,0.015765,5292,5735,7927,5686,6177,8694,5593,6107,8664,5761,6211,8325,5963,6316,7778,NA
MA350-0238,2022-04-12T14:57:01Z,26444,12,1,1.1,1.4,0,2022-04-12,2:57:01 PM,0,0,0,0,60,64,100,-25739,-146,-1935,3,100,100.02,54.95,45.07,34.95,14.9,4.32,76100,35.44,DUALSPOT-UV-BLUE-GREEN-RED-IR,659136,566372,931576,34.879772,29.019978,0.009517,700952,735581,840391,27.896058,23.350708,0.01264,713051,761010,858285,24.518488,20.421174,0.013119,736283,774721,908932,20.322786,16.757778,0.015994,640091,743137,946836,14.85088,11.967773,0.011517,5385,5834,8060,5717,6224,8831,5836,6299,8604,5990,6496,8875,6419,6676,7743,NA
MA350-0238,2022-04-12T14:58:01Z,26445,12,1,1.1,1.4,0,2022-04-12,2:58:01 PM,0,0,0,0,60,64,100,-25766,-92,-1911,3,100,100.37,54.58,45.79,34.95,14.9,4.32,76096,35.44,DUALSPOT-UV-BLUE-GREEN-RED-IR,657784,565260,930619,34.988268,29.116924,0.007988,699824,734474,839820,27.986366,23.431608,0.01051,712762,760758,858653,24.601392,20.494658,0.010287,730490,768680,902409,20.39473,16.82086,0.010054,635669,738035,940790,14.904625,12.013546,0.004866,5838,6218,8102,6133,6549,8688,6305,6662,8442,6612,6911,8318,6878,6982,7416,NA
MA350-0238,2022-04-12T14:59:01Z,26446,12,1,1.1,1.4,0,2022-04-12,2:59:01 PM,0,0,0,0,60,64,100,-25759,-103,-1907,3,100,100.36,54.76,45.6,34.94,14.9,4.31,76096,35.44,DUALSPOT-UV-BLUE-GREEN-RED-IR,657094,564741,930662,35.092872,29.209106,0.007335,698946,733648,839497,28.074476,23.509204,0.009296,711543,759519,857814,24.680418,20.564738,0.011335,735451,773989,909161,20.460948,16.878082,0.008637,634946,737264,940196,14.954426,12.054932,-0.000768,5610,5936,7554,5964,6306,8070,5991,6379,8318,6066,6294,7368,6352,6338,6280,NA
MA350-0238,2022-04-12T15:00:01Z,26447,12,1,1.1,1.4,0,2022-04-12,3:00:01 PM,0,0,0,0,60,64,100,-25760,-71,-1910,3,100,99.96,55.03,44.93,34.93,14.9,4.31,76096,35.44,DUALSPOT-UV-BLUE-GREEN-RED-IR,655646,563564,929400,35.184248,29.288968,0.008413,697852,732538,838791,28.150746,23.575574,0.010237,710202,758134,856777,24.748876,20.62359,0.009734,733826,772342,907687,20.519244,16.928254,0.011501,638570,741535,945954,14.998791,12.091085,-0.000667,4876,5220,6926,5137,5475,7217,5164,5437,6803,5314,5601,6955,5631,5620,5575,NA
MA350-0238,2022-04-12T15:01:01Z,26448,12,1,1.1,1.4,0,2022-04-12,3:01:01 PM,0,0,0,0,60,64,100,-25759,-70,-1907,3,100,100.02,54.65,45.37,34.92,14.9,4.3,76100,35.44,DUALSPOT-UV-BLUE-GREEN-RED-IR,655957,563880,930495,35.251976,29.349194,0.008462,698440,733217,839960,28.205666,23.624794,0.011659,709948,757935,856885,24.799442,20.667462,0.008601,734148,772726,908437,20.56167,16.965118,0.010253,638573,741588,946300,15.031574,12.119654,0.013594,3639,3898,5186,3724,4021,5549,3840,4014,4882,3894,4076,4934,4189,4398,5265,NA
MA350-0238,2022-04-12T15:02:01Z,26449,12,1,1.1,1.4,0,2022-04-12,3:02:01 PM,0,0,0,0,60,64,100,-25746,-107,-1910,3,100,100.17,54.95,45.22,34.92,14.9,4.3,76104,35.44,DUALSPOT-UV-BLUE-GREEN-RED-IR,655007,563092,929761,35.315984,29.405216,0.007787,697027,731784,838734,28.258506,23.672082,0.012384,709447,757466,856719,24.845534,20.708174,0.012294,734457,773088,909199,20.60369,17.000666,0.00668,638793,741875,946928,15.063236,12.146259,0.006497,3420,3638,4718,3564,3875,5483,3481,3736,5013,3835,3943,4448,4024,4109,4461,NA
MA350-0238,2022-04-12T15:03:01Z,26450,12,1,1.1,1.4,0,2022-04-12,3:03:01 PM,0,0,0,0,60,64,100,-25757,-103,-1925,3,100,99.78,54.67,45.11,34.91,14.9,4.29,76108,35.44,DUALSPOT-UV-BLUE-GREEN-RED-IR,654121,562404,929203,35.391712,29.47358,0.010168,696515,731277,838630,28.320376,23.726556,0.010325,708079,756036,855554,24.903348,20.758964,0.011237,732900,771479,907691,20.650214,17.040868,0.010302,637934,740932,946003,15.098019,12.176023,0.010639,4068,4450,6355,4194,4476,5928,4389,4673,6095,4269,4470,5422,4443,4608,5294,NA
MA350-0238,2022-04-12T15:04:01Z,26451,12,1,1.1,1.4,0,2022-04-12,3:04:01 PM,0,0,0,0,60,64,100,-25774,-59,-1896,3,100,99.72,54.95,44.77,34.9,14.9,4.28,76104,35.44,DUALSPOT-UV-BLUE-GREEN-RED-IR,653644,562032,929135,35.459836,29.533786,0.009488,696066,730865,838579,28.37694,23.776958,0.012902,707723,755695,855525,24.95266,20.80361,0.016059,732639,771251,907742,20.693244,17.078886,0.015734,637753,740740,946025,15.13028,12.203257,0.010386,3641,3949,5487,3815,4173,6019,3725,4139,6216,3928,4259,5825,4100,4248,4865,NA
MA350-0238,2022-04-12T15:05:01Z,26452,12,1,1.1,1.4,0,2022-04-12,3:05:01 PM,0,0,0,0,60,64,100,-25762,-100,-1944,3,100,99.86,54.74,45.13,34.89,14.9,4.27,76108,35.44,DUALSPOT-UV-BLUE-GREEN-RED-IR,653925,562308,930134,35.526164,29.59409,0.010721,696259,731096,839225,28.431712,23.825742,0.011664,707976,755991,856249,25.002318,20.845874,0.006518,732029,770647,907416,20.734062,17.11523,0.015163,637216,740169,945516,15.159973,12.228226,0.00617,3558,3924,5748,3709,4007,5549,3766,3887,4499,3740,4040,5456,3789,3864,4180,NA
MA350-0238,2022-04-12T15:06:01Z,26453,12,1,1.1,1.4,0,2022-04-12,3:06:01 PM,0,0,0,0,60,64,100,-25746,-85,-1921,3,100,99.86,54.73,45.13,34.89,14.9,4.27,76108,35.44,DUALSPOT-UV-BLUE-GREEN-RED-IR,652126,560823,928257,35.5979,29.655812,0.005802,693905,728692,836893,28.490208,23.875592,0.006005,707846,755936,856576,25.055572,20.891722,0.008364,731805,770474,907513,20.77957,17.153162,0.002815,637180,740143,945755,15.193272,12.256845,0.011827,3849,4016,4851,3961,4094,4779,4039,4217,5109,4170,4216,4430,4249,4429,5180,NA
MA350-0238,2022-04-12T15:07:01Z,26454,12,1,1.1,1.4,0,2022-04-12,3:07:01 PM,0,0,0,0,60,64,100,-25762,-107,-1937,3,100,100.19,54.88,45.31,34.89,14.9,4.27,76112,35.38,DUALSPOT-UV-BLUE-GREEN-RED-IR,651884,560654,928555,35.665472,29.715564,0.008374,694486,729354,838078,28.54746,23.927162,0.012602,706278,754322,855104,25.105326,20.9357,0.011873,732145,770860,908317,20.823112,17.191404,0.012849,636955,739918,945734,15.22604,12.28355,-0.004724,3616,3872,5155,3867,4218,6040,3763,4029,5361,3980,4233,5434,4170,4116,3890,NA
MA350-0238,2022-04-12T15:08:01Z,26455,12,1,1.1,1.4,0,2022-04-12,3:08:01 PM,0,0,0,0,60,64,100,-25733,-66,-1907,3,100,100,54.45,45.55,34.88,14.9,4.26,76112,35.38,DUALSPOT-UV-BLUE-GREEN-RED-IR,650447,559484,927294,35.745928,29.787136,0.007688,692822,727667,836674,28.614212,23.986818,0.010364,704848,752844,853891,25.167028,20.990512,0.010777,729476,768128,905532,20.873292,17.23504,0.008829,635911,738766,944558,15.26329,12.316668,0.016041,4340,4614,5984,4544,4854,6460,4704,4995,6455,4623,4805,5667,4778,5077,6328,NA
MA350-0238,2022-04-12T15:09:01Z,26456,12,1,1.1,1.4,0,2022-04-12,3:09:01 PM,0,0,0,0,60,64,100,-25767,-78,-1892,3,100,99.76,54.54,45.21,34.88,14.9,4.31,76112,35.38,DUALSPOT-UV-BLUE-GREEN-RED-IR,651377,560323,929551,35.853724,29.881962,0.00749,694097,729095,838903,28.704482,24.06463,0.006885,705712,753828,855607,25.246398,21.059682,0.009356,730178,768934,906996,20.943468,17.294544,0.00553,636115,739056,945357,15.316509,12.359274,-0.014084,5804,6159,7935,6134,6378,7645,6040,6350,7908,6454,6601,7299,6815,6581,5606,NA
MA350-0238,2022-04-12T15:10:01Z,26457,12,1,1.1,1.4,0,2022-04-12,3:10:01 PM,0,0,0,0,60,64,100,-25748,-103,-1907,3,100,100.13,54.65,45.48,34.86,14.9,4.25,76112,35.38,DUALSPOT-UV-BLUE-GREEN-RED-IR,650313,559472,928754,35.927068,29.94889,0.010222,692412,727339,837414,28.766248,24.122886,0.015726,704967,753089,855204,25.301174,21.109988,0.015202,730112,768895,907360,20.99123,17.338198,0.017193,636030,738971,945570,15.353489,12.39217,0.01715,3941,4321,6228,4189,4747,7649,4160,4591,6761,4383,4814,6859,4726,5051,6415,NA
MA350-0238,2022-04-12T15:11:01Z,26458,12,1,1.1,1.4,0,2022-04-12,3:11:01 PM,0,0,0,0,60,64,100,-25760,-67,-1939,3,100,99.97,54.56,45.41,34.85,14.9,4.29,76116,35.38,DUALSPOT-UV-BLUE-GREEN-RED-IR,649355,558719,928152,36.0125,30.023156,0.005847,691916,726873,837364,28.835588,24.183718,0.008698,703954,752035,854485,25.36644,21.166642,0.008114,729960,768782,907651,21.04443,17.385164,0.012291,635389,738285,944995,15.3936,12.42709,0.012503,4598,4802,5825,4710,4965,6288,4965,5178,6252,4891,5188,6598,5135,5371,6359,NA
MA350-0238,2022-04-12T15:12:01Z,26459,12,1,1.1,1.4,0,2022-04-12,3:12:01 PM,0,0,0,0,60,64,100,-25770,-70,-1881,3,100,100.36,55.03,45.33,34.84,14.9,4.24,76116,35.38,DUALSPOT-UV-BLUE-GREEN-RED-IR,648970,558409,928404,36.097052,30.100174,0.010774,691270,726250,837206,28.906362,24.246936,0.01188,704339,752514,855522,25.429754,21.223562,0.013988,728355,767152,906146,21.098528,17.43297,0.013983,635259,738176,945198,15.434704,12.461838,0.007761,4512,4989,7384,4767,5169,7260,4776,5212,7413,4931,5290,6995,5217,5354,5927,NA
MA350-0238,2022-04-12T15:13:01Z,26460,12,1,1.1,1.4,0,2022-04-12,3:13:01 PM,0,0,0,0,60,64,100,-25746,-71,-1903,3,100,99.79,54.65,45.14,34.84,14.9,4.28,76116,35.38,DUALSPOT-UV-BLUE-GREEN-RED-IR,648963,558483,929172,36.180392,30.17083,0.003796,691547,726602,838117,28.976462,24.30933,0.011223,703660,751826,855213,25.492758,21.278666,0.010302,728107,766939,906310,21.152186,17.480586,0.01418,634900,737792,945048,15.476463,12.497242,0.007806,4478,4596,5191,4754,5123,7045,4785,5067,6489,4925,5291,7035,5336,5478,6070,NA
MA350-0238,2022-04-12T15:14:01Z,26461,12,1,1.1,1.4,0,2022-04-12,3:14:01 PM,0,0,0,0,60,64,100,-25735,-96,-1889,3,100,99.93,54.81,45.13,34.84,14.9,4.24,76120,35.38,DUALSPOT-UV-BLUE-GREEN-RED-IR,648319,557944,928968,36.257892,30.241706,0.011037,690458,725489,837290,29.038476,24.36433,0.011155,704089,752341,856221,25.548014,21.328362,0.014031,728662,767558,907448,21.201476,17.523732,0.01258,635354,738364,946062,15.511246,12.528332,0.019848,4152,4612,6923,4194,4517,6203,4185,4571,6523,4511,4796,6152,4432,4812,6404,NA
MA350-0238,2022-04-12T15:15:01Z,26462,12,1,1.1,1.4,0,2022-04-12,3:15:01 PM,0,0,0,0,60,64,100,-25748,-92,-1903,3,100,100.06,54.99,45.07,34.84,14.9,4.24,76120,35.38,DUALSPOT-UV-BLUE-GREEN-RED-IR,647017,556911,927757,36.330052,30.302772,0.004496,689896,724970,837110,29.099292,24.416416,0.007484,701945,750088,854054,25.601988,21.374214,0.00705,727985,766926,907004,21.246004,17.559898,-0.002621,634289,737188,944805,15.54805,12.556456,-0.034987,3854,3978,4606,4099,4283,5241,4074,4222,4972,4062,4025,3848,4675,4358,3027,NA
MA350-0238,2022-04-12T15:16:01Z,26463,12,1,1.1,1.4,0,2022-04-12,3:16:01 PM,0,0,0,0,60,64,100,-25762,-77,-1955,3,100,99.96,54.71,45.25,34.84,14.9,4.24,76120,35.38,DUALSPOT-UV-BLUE-GREEN-RED-IR,647370,557253,928948,36.402992,30.367604,0.00853,689780,724918,837493,29.15889,24.470072,0.01218,702748,751032,855511,25.65449,21.42059,0.011375,727016,765925,906212,21.290884,17.599398,0.012683,634416,737401,945352,15.581772,12.584297,-0.000586,3915,4207,5678,4037,4395,6261,3983,4254,5625,4115,4379,5637,4305,4297,4266,NA
MA350-0238,2022-04-12T15:17:01Z,26464,12,1,1.1,1.4,0,2022-04-12,3:17:01 PM,0,0,0,0,60,64,100,-25764,-102,-1924,3,100,99.9,54.77,45.13,34.84,14.9,4.24,76116,35.38,DUALSPOT-UV-BLUE-GREEN-RED-IR,645923,556064,927638,36.481796,30.435666,0.006182,688627,723760,836651,29.224144,24.525244,0.004792,700461,748643,853214,25.714412,21.471374,0.005748,725479,764377,904733,21.340508,17.641112,0.004901,633150,735972,943806,15.619579,12.61433,-0.014669,4225,4429,5455,4416,4531,5135,4541,4671,5329,4544,4637,5075,4821,4648,3922,NA
MA350-0238,2022-04-12T15:18:01Z,26465,12,1,1.1,1.4,0,2022-04-12,3:18:01 PM,0,0,0,0,60,64,100,-25753,-110,-1939,3,100,100.16,54.8,45.36,34.84,14.9,4.24,76120,35.38,DUALSPOT-UV-BLUE-GREEN-RED-IR,645760,555978,928188,36.569544,30.512772,0.007399,688043,723208,836539,29.29519,24.589052,0.011801,700866,749116,854269,25.778512,21.528564,0.012431,726462,765455,906481,21.395794,17.689292,0.010905,633820,736770,945173,15.659531,12.650337,0.020166,4703,4991,6447,4806,5213,7345,4855,5233,7145,5061,5328,6601,5092,5544,7443,NA
MA350-0238,2022-04-12T15:19:01Z,26466,12,1,1.1,1.4,0,2022-04-12,3:19:01 PM,0,0,0,0,60,64,100,-25754,-108,-1924,3,100,99.82,54.77,45.05,34.84,14.8,4.2,76120,35.38,DUALSPOT-UV-BLUE-GREEN-RED-IR,645042,555424,928061,36.66422,30.597706,0.00965,687353,722538,836393,29.37782,24.66177,0.01032,701055,749389,855144,25.851668,21.592992,0.011607,725828,764877,906265,21.457258,17.742146,0.00967,633679,736681,945436,15.706921,12.689787,0.003735,5076,5536,7856,5591,5982,8025,5544,5936,7921,5629,5884,7103,6043,6115,6420,NA
MA350-0238,2022-04-12T15:20:01Z,26467,12,1,1.1,1.4,0,2022-04-12,3:20:01 PM,0,0,0,0,60,64,100,-25739,-82,-1885,3,100,99.79,54.91,44.87,34.84,14.8,4.2,76116,35.38,DUALSPOT-UV-BLUE-GREEN-RED-IR,644061,554656,927681,36.775896,30.69698,0.009432,686412,721623,836023,29.46743,24.744874,0.015504,699370,747649,853791,25.931788,21.666624,0.016621,724660,763672,905439,21.527592,17.806684,0.019301,632695,735576,944459,15.759647,12.735342,0.014579,5972,6496,9144,6048,6864,11137,6056,6811,10644,6425,7214,10992,6706,7090,8707,NA
MA350-0238,2022-04-12T15:21:01Z,26468,12,1,1.1,1.4,0,2022-04-12,3:21:01 PM,0,0,0,0,60,64,100,-25753,-89,-1882,3,100,99.85,54.84,45.01,34.84,14.8,4.2,76112,35.38,DUALSPOT-UV-BLUE-GREEN-RED-IR,643785,554506,928489,36.903208,30.807992,0.007437,686879,722202,837476,29.572172,24.836586,0.009968,698741,747083,853844,26.029274,21.749998,0.007836,724454,763534,905907,21.609738,17.877148,0.009603,632391,735320,944614,15.822674,12.786781,-0.001864,6817,7243,9396,7079,7552,10038,7378,7689,9269,7513,7853,9480,8026,7982,7796,NA
MA350-0238,2022-04-12T15:22:01Z,26469,12,1,1.1,1.4,0,2022-04-12,3:22:01 PM,0,0,0,0,60,64,100,-25760,-103,-1942,3,100,100.09,54.81,45.28,34.83,14.8,4.16,76116,35.38,DUALSPOT-UV-BLUE-GREEN-RED-IR,643151,554052,928795,37.032412,30.922866,0.008526,685673,721024,836914,29.681756,24.931868,0.008311,699460,747943,855581,26.125822,21.834976,0.01089,723489,762640,905470,21.692292,17.947294,0.006521,632565,735612,945465,15.88483,12.839834,0.009265,6922,7449,10117,7410,7799,9837,7312,7789,10219,7555,7770,8800,7920,8182,9287,NA
MA350-0238,2022-04-12T15:23:01Z,26470,12,1,1.1,1.4,0,2022-04-12,3:23:01 PM,0,0,0,0,60,64,100,-25740,-88,-1903,3,100,99.87,54.87,44.99,34.83,14.8,4.16,76112,35.31,DUALSPOT-UV-BLUE-GREEN-RED-IR,641699,552911,928089,37.182592,31.05143,0.005671,684257,719645,836245,29.808614,25.042634,0.009682,698086,746580,854882,26.239482,21.933828,0.010289,723476,762684,906345,21.78841,18.032376,0.01449,632046,735070,945375,15.958584,12.899656,-0.003735,8037,8391,10184,8569,9124,12045,8598,9119,11778,8786,9485,12840,9387,9286,8859,NA
MA350-0238,2022-04-12T15:24:01Z,26471,12,1,1.1,1.4,0,2022-04-12,3:24:01 PM,0,0,0,0,60,64,100,-25760,-92,-1889,3,100,100.19,54.7,45.49,34.84,14.8,4.16,76116,35.38,DUALSPOT-UV-BLUE-GREEN-RED-IR,640199,551713,927536,37.357108,31.206116,0.007651,682970,718420,835915,29.953014,25.170034,0.009226,696900,745421,854526,26.369548,22.048018,0.009627,721556,760781,904909,21.89981,18.127694,0.006569,630903,733850,944479,16.042953,12.971085,0.005382,9369,9987,13119,9785,10381,13521,9870,10421,13229,10216,10511,11932,10773,10968,11791,NA
MA350-0238,2022-04-12T15:25:01Z,26472,12,1,1.1,1.4,0,2022-04-12,3:25:01 PM,0,0,0,0,60,64,100,-25746,-96,-1939,3,100,99.9,54.91,44.99,34.83,14.7,4.11,76116,35.38,DUALSPOT-UV-BLUE-GREEN-RED-IR,638659,550537,927088,37.545296,31.372536,0.00868,681843,717372,835858,30.10979,25.309834,0.011854,700193,749051,859780,26.510108,22.173266,0.013164,719376,758616,903280,22.01795,18.232118,0.014294,629678,732528,943525,16.134018,13.04924,0.012361,10064,10864,14929,10582,11519,16456,10625,11557,16321,10792,11644,15749,11583,12135,14468,NA
MA350-0238,2022-04-12T15:26:01Z,26473,12,1,1.1,1.4,0,2022-04-12,3:26:01 PM,0,0,0,0,60,64,100,-25744,-97,-1926,3,100,99.64,54.73,44.92,34.83,14.7,4.11,76116,35.31,DUALSPOT-UV-BLUE-GREEN-RED-IR,638050,550144,928007,37.740436,31.54095,0.00633,681101,716740,836332,30.272372,25.450466,0.008358,694197,742818,853668,26.654542,22.296092,0.006794,719279,758654,904305,22.144742,18.338912,0.005981,629826,732832,944605,16.228638,13.125254,-0.007667,10471,11011,13758,11011,11605,14741,10955,11351,13378,11622,11927,13396,12076,11820,10740,NA
MA350-0238,2022-04-12T15:27:01Z,26474,12,1,1.1,1.4,0,2022-04-12,3:27:01 PM,0,0,0,0,60,64,100,-25742,-96,-1860,3,100,100.02,54.69,45.33,34.83,14.7,4.07,76116,35.31,DUALSPOT-UV-BLUE-GREEN-RED-IR,635994,548501,926898,37.944756,31.72092,0.007286,679594,715324,835840,30.43962,25.597162,0.008799,692724,741383,853121,26.804218,22.427302,0.009728,719175,758701,905346,22.271804,18.448502,0.00858,629239,732246,944638,16.325546,13.207565,0.00702,10971,11659,15163,11335,11995,15482,11360,12015,15368,11654,12127,14408,12376,12682,13978,NA
MA350-0238,2022-04-12T15:28:01Z,26475,12,1,1.1,1.4,0,2022-04-12,3:28:01 PM,0,0,0,0,60,64,100,-25764,-92,-1921,3,100,99.83,54.54,45.29,34.82,14.7,4.05,76120,35.31,DUALSPOT-UV-BLUE-GREEN-RED-IR,635034,547815,927306,38.141964,31.893398,0.006432,678252,714029,835507,30.598042,25.73664,0.008986,692703,741461,854294,26.94695,22.55219,0.009196,717933,757485,904853,22.39307,18.554316,0.010212,628422,731404,944298,16.417301,13.28467,0.003601,10618,11184,14070,10766,11415,14849,10863,11446,14442,11153,11720,14460,11750,11891,12488,NA
MA350-0238,2022-04-12T15:29:01Z,26476,12,1,1.1,1.4,0,2022-04-12,3:29:01 PM,0,0,0,0,60,64,100,-25740,-77,-1929,3,100,99.75,54.68,45.07,34.81,14.7,4.04,76116,35.31,DUALSPOT-UV-BLUE-GREEN-RED-IR,633534,546605,926817,38.32674,32.056794,0.008023,678002,713875,836453,30.751332,25.871814,0.009921,695827,744940,859353,27.083344,22.672158,0.010751,716647,756241,904242,22.50775,18.65317,0.009345,627687,730653,944021,16.504372,13.356646,0.000851,9925,10645,14332,10392,11116,14954,10355,11048,14609,10521,11001,13324,11123,11153,11281,NA
MA350-0238,2022-04-12T15:30:01Z,26477,12,1,1.1,1.4,0,2022-04-12,3:30:01 PM,0,0,0,0,60,64,100,-25778,-89,-1914,3,100,99.84,54.64,45.2,34.8,14.7,4.03,76120,35.31,DUALSPOT-UV-BLUE-GREEN-RED-IR,632850,546144,927353,38.491948,32.203964,0.008314,676909,712836,836228,30.883816,25.989328,0.01014,695418,744623,859819,27.201178,22.774014,0.007955,715779,755420,904087,22.608016,18.739626,0.008775,627402,730406,944256,16.578297,13.41864,0.004063,8879,9562,13058,8987,9636,13085,8952,9354,11424,9205,9595,11483,9450,9580,10132,NA
MA350-0238,2022-04-12T15:31:01Z,26478,12,1,1.1,1.4,0,2022-04-12,3:31:01 PM,0,0,0,0,60,64,100,-25757,-96,-1921,3,100,100.33,54.59,45.74,34.8,14.7,4.03,76120,35.31,DUALSPOT-UV-BLUE-GREEN-RED-IR,631153,544771,926332,38.650092,32.34023,0.003835,675378,711339,835370,31.010604,26.10254,0.009466,694632,743906,859858,27.31505,22.874848,0.009491,715664,755409,904837,22.705322,18.823884,0.007221,626977,730022,944301,16.652039,13.479929,-0.002636,8507,8748,9987,8608,9174,12185,8658,9151,11689,8940,9240,10694,9434,9359,9037,NA
MA350-0238,2022-04-12T15:32:01Z,26479,12,1,1.1,1.4,0,2022-04-12,3:32:01 PM,0,0,0,0,60,64,100,-25746,-82,-1864,3,100,99.68,54.76,44.92,34.79,14.7,4.03,76124,35.31,DUALSPOT-UV-BLUE-GREEN-RED-IR,630442,544246,926614,38.797072,32.469692,0.00804,674297,710300,835007,31.126088,26.203932,0.009903,694076,743399,860051,27.419156,22.964888,0.009162,714108,753857,903604,22.794124,18.898754,0.006164,626215,729207,943774,16.719326,13.53414,-0.006131,7882,8464,11455,7816,8367,11299,7891,8321,10538,8134,8361,9464,8582,8430,7784,NA
MA350-0238,2022-04-12T15:33:01Z,26480,12,1,1.1,1.4,0,2022-04-12,3:33:01 PM,0,0,0,0,60,64,100,-25732,-89,-1900,3,100,100,54.86,45.14,34.79,14.7,4.03,76124,35.31,DUALSPOT-UV-BLUE-GREEN-RED-IR,628431,542623,925008,38.942872,32.599182,0.008417,673384,709444,834848,31.242602,26.30513,0.008332,691287,740501,857471,27.52264,23.055962,0.010907,712492,752257,902382,22.882526,18.974154,0.007715,624845,727694,942371,16.78717,13.589867,-0.000535,7804,8424,11610,7872,8310,10642,7830,8375,11189,8083,8379,9816,8637,8623,8561,NA
MA350-0238,2022-04-12T15:34:01Z,26481,12,1,1.1,1.4,0,2022-04-12,3:34:01 PM,0,0,0,0,60,64,100,-25722,-77,-1900,3,100,99.83,54.58,45.25,34.78,14.7,4.02,76128,35.31,DUALSPOT-UV-BLUE-GREEN-RED-IR,628747,542967,926681,39.0726,32.719638,0.010861,673251,709349,835535,31.349428,26.40324,0.012938,692034,741353,859193,27.618172,23.141092,0.01143,712599,752426,903224,22.961862,19.046516,0.016106,625034,727984,943212,16.84666,13.642027,0.013773,6980,7817,12126,7255,8036,12205,7265,7809,10617,7291,8021,11571,7613,8050,9913,NA
MA350-0238,2022-04-12T15:35:01Z,26482,12,1,1.1,1.4,0,2022-04-12,3:35:01 PM,0,0,0,0,60,64,100,-25739,-75,-1910,3,100,100.17,54.8,45.37,34.77,14.6,3.97,76124,35.31,DUALSPOT-UV-BLUE-GREEN-RED-IR,627559,542022,926345,39.22506,32.852436,0.006187,671541,707668,834474,31.474276,26.512428,0.008363,692098,741555,860274,27.727156,23.237128,0.010251,712421,752350,903837,23.055958,19.127386,0.007918,625157,728217,944086,16.917942,13.701801,0.00374,8170,8595,10788,8444,8920,11461,8255,8786,11533,8613,8941,10536,9085,9202,9698,NA
MA350-0238,2022-04-12T15:36:01Z,26483,12,1,1.1,1.4,0,2022-04-12,3:36:01 PM,0,0,0,0,60,64,100,-25750,-114,-1900,3,100,99.84,54.86,44.98,34.77,14.6,3.97,76124,35.31,DUALSPOT-UV-BLUE-GREEN-RED-IR,626443,541139,926154,39.380964,32.993554,0.009921,670622,706793,834378,31.599444,26.624308,0.011526,690584,740012,859340,27.840944,23.336848,0.010726,711053,750978,902982,23.152644,19.212,0.012251,624222,727216,943335,16.990112,13.762276,0.006112,8345,9213,13697,8457,9219,13301,8610,9203,12275,8840,9436,12341,9188,9391,10253,NA
MA350-0238,2022-04-12T15:37:01Z,26484,12,1,1.1,1.4,0,2022-04-12,3:37:01 PM,0,0,0,0,60,64,100,-25782,-92,-1903,3,100,100.13,54.76,45.37,34.77,14.6,3.97,76124,35.31,DUALSPOT-UV-BLUE-GREEN-RED-IR,625602,540511,926335,39.537624,33.132412,0.00762,670279,706520,835025,31.727488,26.739624,0.011232,689670,739123,859163,27.954788,23.439304,0.012456,710145,750111,902747,23.251496,19.298536,0.010748,623596,726581,943125,17.066308,13.825476,0.000359,8401,8988,12024,8666,9420,13465,8629,9374,13239,9054,9567,12071,9718,9729,9778,NA
